id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,reserved2,logoMissing,logoFile,Match1,Match2,Match3,Match Chk
500,http://hydra.shoutca.st:8064/stream2,Bay Trust Radio,r,local,, ,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Bay Trust Radio.jpg,Bay Trust Radio,ACC,48s,Bay Trust Radio
501,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_one/bbc_radio_one.isml/bbc_radio_one-audio%3d128000.norewind.m3u8,BBC Radio 1 (England),r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 1 (England).png,BBC Radio 1 (England),OTHER,128s,BBC Radio 1 (England)
502,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_1xtra/bbc_1xtra.isml/bbc_1xtra-audio%3d128000.norewind.m3u8,BBC Radio 1Xtra,r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 1Xtra.png,BBC Radio 1Xtra,OTHER,128s,BBC Radio 1Xtra
503,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_two/bbc_radio_two.isml/bbc_radio_two-audio%3d128000.norewind.m3u8,BBC Radio 2,r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 2.png,BBC Radio 2,OTHER,128s,BBC Radio 2
504,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_three/bbc_radio_three.isml/bbc_radio_three-audio%3d128000.norewind.m3u8,BBC Radio 3,r,local,,BBC,English,UK,Europe,320s,MP3,No,,NULL,FALSE,BBC Radio 3.png,BBC Radio 3,OTHER,128s,BBC Radio 3
505,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_fourfm/bbc_radio_fourfm.isml/bbc_radio_fourfm-audio%3d128000.norewind.m3u8,BBC Radio 4 (DAB),r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 4 (DAB).png,BBC Radio 4 (DAB),OTHER,128s,BBC Radio 4 (DAB)
506,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_fourlw/bbc_radio_fourlw.isml/bbc_radio_fourlw-audio%3d128000.norewind.m3u8,BBC Radio 4 (LW),r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 4 (LW).png,BBC Radio 4 (LW),OTHER,128s,BBC Radio 4 (LW)
507,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_four_extra/bbc_radio_four_extra.isml/bbc_radio_four_extra-audio%3d128000.norewind.m3u8,BBC Radio 4 Extra,r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 4 Extra.png,BBC Radio 4 Extra,OTHER,128s,BBC Radio 4 Extra
508,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_five_live/bbc_radio_five_live.isml/bbc_radio_five_live-audio%3d128000.norewind.m3u8,BBC Radio 5 Live,r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 5 Live.png,BBC Radio 5 Live,OTHER,128s,BBC Radio 5 Live
509,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_five_live_sports_extra/bbc_radio_five_live_sports_extra.isml/bbc_radio_five_live_sports_extra-audio%3d128000.norewind.m3u8,BBC Radio 5 Sports Extra,r,local,,BBC,English,UK,Europe,128s,MP3,No,,NULL,FALSE,BBC Radio 5 Sports Extra.png,BBC Radio 5 Sports Extra,OTHER,128s,BBC Radio 5 Sports Extra
